# SLIMED mesh faces: v0, v1, v2, copy
617,642,618,1
642,643,618,1
618,643,619,1
643,644,619,1
619,644,620,1
644,645,620,1
620,645,621,1
645,646,621,1
621,646,622,1
646,647,622,1
622,647,623,1
647,648,623,1
623,648,624,1
648,649,624,1
624,649,625,1
649,650,625,1
625,650,626,1
650,651,626,1
626,651,627,1
651,652,627,1
627,652,628,1
652,653,628,1
628,653,629,1
653,654,629,1
629,654,630,1
654,655,630,1
630,655,631,1
655,656,631,1
631,656,632,1
656,657,632,1
632,657,633,1
657,658,633,1
633,658,634,1
658,659,634,1
634,659,635,1
659,660,635,1
661,662,636,1
662,637,636,1
662,663,637,1
663,638,637,1
663,664,638,1
664,639,638,1
664,665,639,1
665,640,639,1
665,666,640,1
666,641,640,1
666,667,641,1
667,642,641,1
667,668,642,1
668,643,642,1
668,669,643,1
669,644,643,1
669,670,644,1
670,645,644,1
670,671,645,1
671,646,645,1
671,672,646,1
672,647,646,1
672,673,647,1
673,648,647,1
673,674,648,1
674,649,648,1
674,675,649,1
675,650,649,1
675,676,650,1
676,651,650,1
676,677,651,1
677,652,651,1
677,678,652,1
678,653,652,1
678,679,653,1
679,654,653,1
679,680,654,1
680,655,654,1
680,681,655,1
681,656,655,1
681,682,656,1
682,657,656,1
682,683,657,1
683,658,657,1
683,684,658,1
684,659,658,1
684,685,659,1
685,660,659,1
661,686,662,1
686,687,662,1
662,687,663,1
687,688,663,1
663,688,664,1
688,689,664,1
664,689,665,1
689,690,665,1
665,690,666,1
690,691,666,1
666,691,667,1
691,692,667,1
667,692,668,1
692,693,668,1
668,693,669,1
693,694,669,1
669,694,670,1
694,695,670,1
670,695,671,1
695,696,671,1
671,696,672,1
696,697,672,1
672,697,673,1
697,698,673,1
673,698,674,1
698,699,674,1
674,699,675,1
699,700,675,1
675,700,676,1
700,701,676,1
676,701,677,1
701,702,677,1
677,702,678,1
702,703,678,1
678,703,679,1
703,704,679,1
679,704,680,1
704,705,680,1
680,705,681,1
705,706,681,1
681,706,682,1
706,707,682,1
682,707,683,1
707,708,683,1
683,708,684,1
708,709,684,1
684,709,685,1
709,710,685,1
