r,h
6.188688688688688444e+01,-1.198744584971116289e+01
6.197197197197196772e+01,-1.201058479687422320e+01
6.205705705705705100e+01,-1.203366308705560428e+01
6.214214214214214138e+01,-1.205668088920331904e+01
6.222722722722722466e+01,-1.207963837138674279e+01
6.231231231231231504e+01,-1.210253570080302232e+01
6.239739739739739832e+01,-1.212537304378337844e+01
6.248248248248248160e+01,-1.214815056579938357e+01
6.256756756756756488e+01,-1.217086843146916841e+01
6.265265265265264816e+01,-1.219352680456355920e+01
6.273773773773773854e+01,-1.221612584801218127e+01
6.282282282282282182e+01,-1.223866572390947738e+01
6.290790790790791220e+01,-1.226114659352069580e+01
6.299299299299299548e+01,-1.228356861728779492e+01
6.307807807807807876e+01,-1.230593195483533009e+01
6.316316316316316204e+01,-1.232823676497623921e+01
6.324824824824824532e+01,-1.235048320571761593e+01
6.333333333333332860e+01,-1.237267143426640459e+01
6.341841841841841898e+01,-1.239480160703504907e+01
6.350350350350350226e+01,-1.241687387964708833e+01
6.358858858858859264e+01,-1.243888840694271813e+01
6.367367367367367592e+01,-1.246084534298425872e+01
6.375875875875875920e+01,-1.248274484106162241e+01
6.384384384384384248e+01,-1.250458705369769952e+01
6.392892892892892576e+01,-1.252637213265370164e+01
6.401401401401400904e+01,-1.254810022893446231e+01
6.409909909909910652e+01,-1.256977149279368611e+01
6.418418418418417559e+01,-1.259138607373913388e+01
6.426926926926927308e+01,-1.261294412053780967e+01
6.435435435435435636e+01,-1.263444578122103046e+01
6.443943943943943964e+01,-1.265589120308951010e+01
6.452452452452452292e+01,-1.267728053271837219e+01
6.460960960960960620e+01,-1.269861391596211497e+01
6.469469469469468947e+01,-1.271989149795954077e+01
6.477977977977977275e+01,-1.274111342313863560e+01
6.486486486486487024e+01,-1.276227983522141507e+01
6.494994994994995352e+01,-1.278339087722869927e+01
6.503503503503503680e+01,-1.280444669148489822e+01
6.512012012012012008e+01,-1.282544741962269441e+01
6.520520520520520336e+01,-1.284639320258772699e+01
6.529029029029028663e+01,-1.286728418064321389e+01
6.537537537537536991e+01,-1.288812049337453836e+01
6.546046046046046740e+01,-1.290890227969380355e+01
6.554554554554553647e+01,-1.292962967784432315e+01
6.563063063063063396e+01,-1.295030282540511912e+01
6.571571571571571724e+01,-1.297092185929530928e+01
6.580080080080080052e+01,-1.299148691577853576e+01
6.588588588588588379e+01,-1.301199813046729581e+01
6.597097097097096707e+01,-1.303245563832726006e+01
6.605605605605605035e+01,-1.305285957368155358e+01
6.614114114114113363e+01,-1.307321007021499248e+01
6.622622622622623112e+01,-1.309350726097829209e+01
6.631131131131131440e+01,-1.311375127839222010e+01
6.639639639639639768e+01,-1.313394225425175321e+01
6.648148148148148096e+01,-1.315408031973015035e+01
6.656656656656656423e+01,-1.317416560538302761e+01
6.665165165165164751e+01,-1.319419824115237816e+01
6.673673673673673079e+01,-1.321417835637057436e+01
6.682182182182182828e+01,-1.323410607976431308e+01
6.690690690690689735e+01,-1.325398153945854318e+01
6.699199199199199484e+01,-1.327380486298038065e+01
